15:49:12.684 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.684 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.685 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.686 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.687 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.785 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.786 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.787 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.788 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.789 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.886 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.887 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.888 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.888 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.889 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.987 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.988 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.989 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.990 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:12.991 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:13.087 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:13.088 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:13.088 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:13.089 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
15:49:13.089 [error] pool 'riaklocal1' failed to start member: {:error, {:tcp, :nxdomain}}
